AirlineName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Airline Name_Aer Lingus,-0.0036105276,-0.039411124,-0.0178136,0.062365297,0.051119182,-0.04026503,0.094537675,0.029829726,-0.015183057,-0.053721145,-0.05764413,-0.059647564,-0.010722445,-0.04519906,0.042793468,-0.05498074,-0.065636285,-0.013531731,-0.016607659,-0.052671738,-0.01858487,-0.01943673,0.018265508,0.069202185,0.05861397,0.033457987,0.043166626,0.03221568,0.023025481,-0.025766106,-0.010255965,0.027367625,0.051304936,-0.043411925,0.054262474,0.014245153,0.04919367,0.03139033,0.027966755,-0.017319633,-0.026792768,-0.05401621,0.008577717,-0.040639795,-0.027997289,0.04701048,0.0527674,-0.030500181,0.042297106,-0.04661599
Airline Name_Aero Flot,-0.21121955,0.115443945,-0.043179322,-0.11566834,-0.17391798,0.17011893,0.021587037,-0.16993043,0.04905119,0.16247313,0.09847361,0.34736615,-0.18239298,0.27746743,-0.16853182,-0.16384512,0.26580968,0.36019522,-0.041727554,-0.08037385,0.06891625,0.24895133,-0.23942627,-0.21568811,0.10572384,-0.17834814,-0.10670351,0.115287,-0.22457698,0.24936537,0.2684336,0.06318833,-0.18647657,0.20144412,-0.26606667,-0.28381303,-0.25992972,-0.2580041,0.022573149,-0.0019954175,0.19485778,-0.05747956,0.021027723,0.012566572,0.061561953,-0.0126884505,0.07196722,0.10394177,-0.13731112,0.12266427
Airline Name_Aero Lineas Mexicanas J S S A De C V,-0.025346732,-0.014054347,0.012994532,0.004171122,0.045107666,0.010434806,-0.016331721,-0.009462822,-0.0018306486,0.043928985,0.03241129,-0.04846543,-0.012750767,-0.0067256466,-0.008867811,-0.016468965,0.028176758,0.039825443,-0.042088844,0.029636335,0.049049113,0.031982813,-0.034995664,-0.01737852,-0.0024240017,0.0011751764,-0.014241278,0.006120123,-0.042407643,0.045926247,-0.039889038,0.04561316,-0.039000224,-0.033787444,-0.030629754,-0.011466134,0.021908257,0.029254999,-0.0013800152,0.01195078,-0.004898049,0.037669253,0.0066018216,-0.025092637,0.034697477,0.007033922,-0.026201213,0.023464296,-0.027496113,-0.043455888
Airline Name_Aero Mexico,-0.04662913,0.028615642,-0.009654939,-0.03053881,-0.034478106,0.022068787,0.04448614,0.019832242,-0.0116356835,0.040494714,0.04649793,0.010796033,-0.048829343,0.012540732,-0.030195415,-0.0063887127,0.003544081,-0.049542464,-0.0380798,0.031529795,-0.04453621,0.0108810775,0.04258642,0.014320839,0.0024253838,-0.0034423098,-0.041702878,0.0020774119,0.021040607,0.028716829,-0.0045437105,0.039226126,0.032863226,0.047261182,-0.0016671047,0.048357498,0.021023575,0.010815062,0.019096006,-0.048095394,0.011695158,0.014707301,0.027484987,-0.04329754,-0.006360233,-0.010995589,-0.011473883,-0.03197521,-0.016145777,-0.009080064
Airline Name_Aerolineas Argentinas,-0.001263082,-0.0056745782,-0.017730724,-0.007718146,0.02429631,0.026632395,0.008974671,-0.035915114,0.0492705,-0.015051294,-0.049584497,0.017407324,-0.025227118,-0.024796044,0.02196331,-0.034716584,-0.04790516,-0.008243501,0.03101449,-0.0075387247,0.026128042,-0.0037385933,-0.0014172308,-0.006338585,0.0011245012,-0.025178088,-0.031481996,-0.027503168,0.048808385,-0.013499521,-0.034342397,0.028460477,-0.010951005,-0.028471423,0.010253359,-0.00049252436,-0.017872967,-0.044983007,-0.046455454,-0.008892871,0.027575623,-0.030168606,0.0064643025,0.033490863,0.021336231,-0.0427878,-0.009294618,0.045124475,-0.006901372,0.044203404
Airline Name_Air Aruba,-0.039218616,-0.044343423,0.0055551305,-0.04006313,-0.0010867491,-0.008127272,-0.03140943,0.0014413707,0.037079263,-0.024568105,-0.009599268,-0.015809882,-0.02112986,-0.03694004,0.035998788,0.024719525,0.0055603385,-0.014539994,-0.0037930124,-0.037789654,0.038230423,-0.03474791,0.012864854,-0.049271166,0.041400183,0.04177208,-0.039028563,-0.0345667,0.0011422746,-0.04095466,-0.024566699,0.006206859,0.03396206,0.03536098,-0.028191065,-0.048066985,-0.045054507,-0.021693993,-0.008713223,0.014929127,0.031236473,-0.030070413,-0.04278921,0.04822913,0.039348926,-0.024343897,0.049022365,-0.01629908,0.0395828,0.009583391
Airline Name_Air Berlin,0.03351439,0.048949603,0.033534218,-0.03226458,-0.0007490143,0.019589592,0.0125564225,-0.02678175,-0.024885524,-0.02270385,0.022975955,-0.030522406,0.030121956,0.036398698,-0.022992337,-0.018361248,0.039214205,-0.00078906864,0.00834962,0.034517024,0.022152577,0.01812018,0.0150764845,-0.0018187538,0.03227887,-0.0012841448,-0.006075751,0.009202458,0.017240215,-0.029390408,0.020865891,0.017704938,-0.031776942,-0.0496055,-0.017545424,-0.029438484,-0.005213011,0.012768459,0.009948265,-0.0057325847,-0.028165078,-0.043870427,-0.03948226,-0.011119127,-0.023394097,-0.0062902085,-0.018343292,0.015745375,0.03318802,0.008967806
Airline Name_Air Canada,0.04503611,0.013805751,-0.02518344,0.031232927,0.03291345,0.014693569,-0.015277732,-0.017704189,0.024015013,0.040389214,-0.01575949,0.04988238,-0.012676619,0.032041755,-0.022479678,0.033731665,0.023416568,0.043971095,-0.005155407,0.020658318,-0.0018519275,0.020633552,0.006386064,0.008797932,0.03352957,0.04897413,-0.0004007928,-0.048992384,-0.011493158,-0.030935014,-0.012559533,-0.0086862445,0.027073454,-0.003861688,-0.017726135,-0.02891357,-0.039100505,-0.01107651,0.017078135,0.012413956,0.023936357,-0.035065543,-0.01139326,0.048821513,0.02384952,-0.013531219,-0.031138135,0.033544805,-0.003334023,0.020346735
Airline Name_Air China,0.041351426,0.04950216,0.037815932,-0.040987134,-0.019256962,-0.047428336,-0.015797496,0.013185527,0.04869194,0.0010017045,-0.012359358,-0.044415023,-0.014348816,-0.029867364,-0.02440299,-0.030250454,0.004437469,0.046682987,0.026234675,0.043466713,0.026025023,0.019368041,-0.025756551,0.022851195,0.024231795,-0.013013206,-0.013629783,0.04852463,-0.03058139,0.045919333,-0.0024139173,-0.031795956,-0.0021944046,0.04322875,-0.048207738,-0.03378904,0.030729387,-0.047352254,0.045986284,-0.042468525,0.015852299,0.043059293,-0.016582131,0.020545628,-0.027362013,-0.017984975,-0.044469096,0.046417538,-0.027052104,-0.026834225
Airline Name_Air Europa,-0.032993317,0.027942706,-0.0449028,-0.04973632,-0.019752324,0.0127965845,-0.00814582,-0.0140559785,0.025468323,0.04551295,-0.022221196,0.010909259,0.017478075,0.005631529,0.00042139366,-0.048129987,-0.03409852,-0.012707103,-0.04865625,-0.01141578,0.020057533,0.027194154,-0.003989719,0.025691796,0.018865738,0.017928902,-0.010253333,0.001773309,0.0011204593,-0.03999629,0.033795822,-0.03455746,-0.0075153336,0.0053802244,-0.048775803,-0.036000393,0.023179065,0.041838314,0.0046648867,0.023458268,0.003100086,0.024679337,0.03277011,-0.00028623268,0.03683242,0.043368075,0.046069648,0.029950392,-0.044729542,0.037264194
Airline Name_Air France,0.047214914,0.045636546,0.033245686,-0.018896317,0.038229432,0.017129246,-0.0248101,0.032817613,-0.021485759,-0.009050954,-0.032067418,-0.013946246,-0.049776185,0.026116703,-0.015396811,0.026614476,-0.04597385,0.027925361,0.0475826,-0.017997645,0.041981827,0.012196578,-0.045975756,0.014094327,-0.03280081,0.017025243,-0.04452629,0.004513573,-0.018916214,-0.009907354,0.024784531,0.005503129,0.034400407,0.009669088,0.01042651,-0.018165171,0.040237848,0.04258604,0.0024224408,0.028978314,-0.0024771318,-0.04642905,-0.022161294,-0.010265578,0.021544669,-0.019682502,0.037074115,0.03715111,-0.031897355,-0.0034678355
Airline Name_Air India,0.009135772,-0.033247188,-0.021149576,0.01423547,0.024445843,0.008182418,-0.045714367,0.017974649,0.024247993,-0.0032253861,-0.01862488,-0.022802306,0.045208562,-0.04520304,0.0065880045,-0.039227106,0.0020095333,0.02662326,-0.025287677,0.025528703,0.021588895,-0.02711457,-0.03531773,0.01615161,0.021399055,-0.04307083,-0.022215068,0.0148495175,-0.00924344,-0.013068795,-0.028111411,0.042916562,0.04200795,0.0016246922,-0.028245747,-0.037560474,-4.8421323e-05,0.031589236,-0.009715129,0.04908477,0.04393437,0.046496067,-0.008583821,0.04598583,-0.031897534,0.003716208,0.024769511,0.021791246,-0.039511822,-0.0053567514
